"id","name","description","image_url","hero","category","quality","race","set","mana","attack","health","collectible","effect_list"
"7","Garrosh Hellscream","","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/HERO_01.png","warrior","hero","free","none","basic","0","null","30","true",""
"8","Mind Control","Take control of an enemy minion.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/CS1_113.png","priest","spell","common","none","basic","10","null","null","true",""
"9","Prophet Velen","Double the damage and healing of your spells and Hero Power.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/EX1_350.png","priest","minion","legendary","none","expert","7","7","7","true",""
"12","Mana Addict","Whenever you cast a spell, gain +2 Attack this turn.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/EX1_055.png","neutral","minion","rare","none","expert","2","1","3","true",""
"21","Barrel","Is something in this barrel?","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/TU4c_003.png","neutral","minion","common","none","missions","0","null","2","false",""
"22","Inner Rage","Deal 1 damage to a minion and give it +2 Attack.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/EX1_607.png","warrior","spell","common","none","expert","0","null","null","true",""
"23","Bane of Doom","Deal 2 damage to a character.  If that kills it, summon a random Demon.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/EX1_320.png","warlock","spell","epic","none","expert","5","null","null","true",""
"28","Kor'kron Elite","<b>Charge</b>","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/NEW1_011.png","warrior","minion","common","none","basic","4","4","3","true","[object Object]"
"30","Thoughtsteal","Copy 2 cards from your opponent's deck and put them into your hand.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/EX1_339.png","priest","spell","common","none","expert","3","null","null","true",""
"31","Rexxar","","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/HERO_05.png","hunter","hero","free","none","basic","0","null","30","true",""
"32","Al'Akir the Windlord","<b>Windfury</b>, <b>Charge</b>, <b>Divine Shield</b>, <b>Taunt</b>","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/NEW1_010.png","shaman","minion","legendary","none","expert","8","3","5","true","[object Object],[object Object],[object Object],[object Object]"
"34","Silvermoon Guardian","<b>Divine Shield</b>","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/EX1_023.png","neutral","minion","common","none","expert","4","3","3","true","[object Object]"
"36","Cenarius","Choose One - Give your other minions +2/+2; or Summon two 2/2 Treants with <b>Taunt</b>.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/EX1_573.png","druid","minion","legendary","none","expert","9","5","8","true",""
"37","Pint-Sized Summoner","The first minion you play each turn costs (1) less.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/EX1_076.png","neutral","minion","rare","none","expert","2","2","2","true",""
"41","Frostwolf Grunt","<b>Taunt</b>","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/CS2_121.png","neutral","minion","common","none","basic","2","2","2","true","[object Object]"
"45","Tauren Warrior","<b>Taunt</b>. <b>Enrage</b>: +3 Attack","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/EX1_390.png","neutral","minion","common","none","expert","3","2","3","true","[object Object],[object Object]"
"48","Voidwalker","<b>Taunt</b>","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/CS2_065.png","warlock","minion","free","demon","basic","1","1","3","true","[object Object]"
"51","Windfury","Give a minion <b>Windfury</b>.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/CS2_039.png","shaman","spell","free","none","basic","2","null","null","true",""
"52","Emboldener 3000","At the end of your turn, give a random minion +1/+1.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/Mekka3.png","neutral","minion","common","none","promotion","1","null","4","false",""
"54","Whelp","","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/ds1_whelptoken.png","neutral","minion","uncommon","dragon","expert","1","1","1","false",""
"59","Mechanical Dragonling","","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/EX1_025t.png","neutral","minion","common","none","basic","1","2","1","false",""
"60","Summon a Panther","Summon a 3/2 Panther.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/EX1_160a.png","druid","spell","uncommon","none","expert","0","null","null","false",""
"61","Spiteful Smith","<b>Enrage</b>: Your weapon has +2 Attack.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/CS2_221.png","neutral","minion","common","none","expert","5","4","6","true","[object Object]"
"63","Cat Form","<b>Charge</b>","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/EX1_165a.png","druid","spell","common","none","expert","0","null","null","false","[object Object]"
"64","Swipe","Deal 4 damage to an enemy and 1 damage to all other enemies.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/CS2_012.png","druid","spell","common","none","basic","4","null","null","true",""
"67","Silverback Patriarch","<b>Taunt</b>","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/CS2_127.png","neutral","minion","common","beast","basic","3","1","4","true","[object Object]"
"68","Stranglethorn Tiger","<b>Stealth</b>","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/EX1_028.png","neutral","minion","common","beast","expert","5","5","5","true","[object Object]"
"69","Silver Hand Knight","<b>Battlecry</b>: Summon a 2/2 Squire.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/CS2_151.png","neutral","minion","common","none","expert","5","4","4","true","[object Object]"
"70","Blessing of Might","Give a minion +3 Attack.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/CS2_087.png","paladin","spell","free","none","basic","1","null","null","true",""
"75","Brawl","Destroy all minions except one.  (chosen randomly)","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/EX1_407.png","warrior","spell","epic","none","expert","5","null","null","true",""
"76","Imp","","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/EX1_598.png","neutral","minion","rare","demon","expert","1","1","1","false",""
